Category,Product Name,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating,Customer Review,Sentiment,Emotion,label_conflict,Review_Clean,Review_Preprocessed,Sentiment_Label,Emotion_Label
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Jakarta Utara,53500,4.9,5449,2369,5,Alhamdulillah berfungsi dengan baik. Packaging aman. Respon cepat dan ramah. Seller dan kurir amanah,Positive,Happy,False,alhamdulillah berfungsi dengan baik. packaging aman. respon cepat dan ramah. seller dan kurir amanah,alhamdulillah fungsi baik packaging aman respon cepat ramah seller kurir amanah,1,4
Computers and Laptops,PAKET LISENSI WINDOWS 10 PRO DAN OFFICE 2019 ORIGINAL + BONUS,Kota Tangerang Selatan,72000,4.9,2359,1044,5,"barang bagus dan respon cepat, harga bersaing dengan yg lain.",Positive,Happy,False,"barang bagus dan respon cepat, harga bersaing dengan yg lain.",barang bagus respon cepat harga saing yg,1,4
Computers and Laptops,SSD Midasforce 128 Gb - Tanpa Caddy,Jakarta Barat,213000,5.0,12300,3573,5,"barang bagus, berfungsi dengan baik, seler ramah, pengiriman cepat",Positive,Happy,False,"barang bagus, berfungsi dengan baik, seler ramah, pengiriman cepat",barang bagus fungsi baik seler ramah kirim cepat,1,4
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Jakarta Timur,55000,4.7,2030,672,5,bagus sesuai harapan penjual nya juga ramah. trimakasih pelapak,Positive,Happy,False,bagus sesuai harapan penjual nya juga ramah. trimakasih pelapak,bagus sesuai harap jual nya ramah trimakasih lapak,1,4
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Jakarta Timur,55000,4.7,2030,672,5,"Barang Bagus, pengemasan Aman, dapat Berfungsi dengan Baik",Positive,Happy,False,"barang bagus, pengemasan aman, dapat berfungsi dengan baik",barang bagus emas aman fungsi baik,1,4
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Jakarta Timur,55000,4.7,2030,672,5,"barang bagus, seller ramah..",Positive,Happy,False,"barang bagus, seller ramah.",barang bagus seller ramah,1,4
Computers and Laptops,Kepala Colokan Listrik Charger Macbook untuk colokan Indonesia,Jakarta Selatan,85000,4.9,1339,718,5,mantap paten joss,Positive,Happy,False,mantap paten joss,mantap paten joss,1,4
Computers and Laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,Jakarta Barat,136500,5.0,1201,632,5,"Works fine. Respon seller cepat, barang berfungsi dengan baik. Recommended.",Positive,Happy,False,"works fine. respon seller cepat, barang berfungsi dengan baik. recommended.",works fine respon seller cepat barang fungsi baik recommended,1,4
Computers and Laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,Jakarta Barat,136500,5.0,1201,632,5,barang bagus.. segel.. utuh.. original.. berfungsi dengan bener.. seller respon nya ajib.. cepat amir... uda gt kasi sarannya pas banget lg dengan kebutuhan.. mantabbb,Positive,Happy,False,barang bagus. segel. utuh. original. berfungsi dengan bener. seller respon nya ajib. cepat amir. uda gt kasi sarannya pas banget lg dengan kebutuhan. mantabb,barang bagus segel utuh original fungsi bener seller respon nya ajib cepat amir uda gt kasi saran pas banget lg butuh mantabb,1,4
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Jakarta Barat,113777,4.9,1630,777,5,Barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya.,Positive,Happy,False,barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya.,barang datang fungsi baik lihat bagus kali lampu biru,1,4
